"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ABATE MOLINA","enero",68,174
"2","ACHERNAR (ART)","enero",14,45
"3","ACUARIO IV (ART)","enero",144,190
"4","ADRIANA   ART","enero",19,52
"5","ADRIANA IX (ART)","enero",29,61
"6","ADRIANA V (ART)","enero",20,46
"7","ALTAIR I (IND)","enero",0,1
"8","ANDREA C (ART)","enero",27,58
"9","ANGELA VALENTINA (ART)","enero",29,55
"10","ANSELMO I (ART)","enero",7,51
"11","ANTARES (IND)","enero",2,21
"12","ANTARES V (ART)","enero",17,47
"13","ARMANDO S (ART)","enero",20,46
"14","AZARIEL (ART)","enero",8,39
"15","BIO BIO (ART)","enero",29,56
"16","BONN (IND)","enero",180,339
"17","BUCANERO I (IND)","enero",45,105
"18","BUENA FE II (L","enero",0,21
"19","CAPELLO (ART)","enero",20,43
"20","CARLOS EMILIO (ART)","enero",26,57
"21","CARLOS PATRICIO (ART)","enero",2,2
"22","CAZADOR (IND)","enero",34,113
"23","CENTURION 2000 (L","enero",179,228
"24","CHANGO (ART)","enero",19,48
"25","CHANGO I (ART)","enero",0,1
"26","COBRA (IND)","enero",37,89
"27","CORSARIO I (IND)","enero",29,94
"28","CRISTIAN GUILLERMO (ART)","enero",18,33
"29","CRISTOBAL (ART)","enero",22,54
"30","DALCA (ART)","enero",99,169
"31","DANIELA S (ART)","enero",140,202
"32","DELIA ROSA (ART)","enero",27,50
"33","DEMETRIO II (L","enero",2,6
"34","DIEGO ESTEBAN (ART)","enero",26,52
"35","DOMENICA (ART)","enero",30,59
"36","DOÑA CANDELARIA (ART)","enero",15,21
"37","DOÑA JOVA 2DA (ART)","enero",22,41
"38","DOÑA LETICIA (ART)","enero",20,52
"39","DON ALFONSO (IND)","enero",10,48
"40","DOÑA MARGARITA C (ART)","enero",14,39
"41","DON ANGEL (ART)","enero",0,8
"42","DON BENJA (ART)","enero",35,66
"43","DON BORIS (IND)","enero",24,81
"44","DON CLAUDIO (L","enero",0,3
"45","DON DANIEL I (L","enero",30,51
"46","DON DANILO F (ART)","enero",49,64
"47","DON DAVID II (ART)","enero",0,12
"48","DON DEMETRIO III (ART)","enero",16,46
"49","DON EDMUNDO (IND)","enero",34,61
"50","DON GUILLERMO I (ART)","enero",17,42
"51","DON JEAN PIERRE (ART)","enero",62,102
"52","DON JOAQUIN II (ART)","enero",0,2
"53","DON JORGE","enero",0,1
"54","DON JORGE LUIS M (ART)","enero",20,48
"55","DON JOSE IV (ART)_1322","enero",10,42
"56","DON JUAN C (ART)","enero",3,8
"57","DON JULIO (BZA)","enero",67,163
"58","DON KAKO (ART)","enero",33,68
"59","DON LEONEL (ART)","enero",24,62
"60","DON LUIS ALBERTO (ART)","enero",26,82
"61","DON LUIS ALBERTO II (ART)","enero",22,51
"62","DON LUIS D (ART)","enero",13,40
"63","DON MANUEL (IND)","enero",11,61
"64","DON MATEO (ART)","enero",17,52
"65","DON MATEO I (ART)","enero",132,193
"66","DON MAXI (ART)","enero",138,189
"67","DON MIGUEL (ART)","enero",15,57
"68","DON PASCUAL (ART)","enero",7,14
"69","DON RAUL M (ART)","enero",0,17
"70","DON RICARDO (ART)","enero",18,59
"71","DON RICARDO II (ART)","enero",24,53
"72","DON ROBERT (ART)","enero",20,51
"73","DON RUBEN (ART)","enero",21,48
"74","DON SAMUEL II (ART)","enero",24,49
"75","DON TITO (IND)","enero",52,110
"76","DON VICENTE I (ART)","enero",75,106
"77","DON WILLY (ART)","enero",97,125
"78","DUQUECO (IND)","enero",0,11
"79","EDEN I (ART)","enero",0,1
"80","EL ACUARIO I (ART)","enero",31,59
"81","ELOISA II (ART)","enero",19,41
"82","EL ROBLE (L","enero",166,201
"83","EMELINDA (ART)","enero",26,55
"84","ESTRELLA II (ART)","enero",36,70
"85","EVELYN (ART)","enero",117,140
"86","FLORENCIA (ART)","enero",14,45
"87","FOCHE (IND)","enero",0,9
"88","FRANCISCO JAVIER (ART)","enero",24,56
"89","GALEON II (ART)","enero",34,55
"90","GIANLUCA (ART)","enero",28,52
"91","GIANPIERO I","enero",0,5
"92","GLACIAR I (ART)","enero",20,47
"93","GRINGO (IND)","enero",27,59
"94","GUANAYE 2 (IND)","enero",26,57
"95","HERMINIA I (ART)","enero",28,55
"96","HUMBOLDT II (ART)","enero",0,2
"97","HURACAN I (ART)","enero",20,51
"98","INGRID FERNANDA (ART)","enero",111,209
"99","ISAAC (ART)","enero",24,50
"100","ISLA PICTON","enero",14,46
"101","JACOB-ISRAEL (ART)","enero",21,51
"102","JAQUELINE (ART)","enero",66,96
"103","JAVIER (IND)","enero",50,164
"104","JOEL I (ART)","enero",21,58
"105","JORGE ANDRES (ART)","enero",29,62
"106","JORGE HERNAN M (ART)","enero",15,42
"107","JOSUE (ART)","enero",37,56
"108","JOYA I (L","enero",39,52
"109","JUAN CLAUDIO (ART)","enero",12,16
"110","JUAN MARCELO (ART)","enero",8,35
"111","KIPPERNES (ART)","enero",18,54
"112","KORMORAN 2DO (ART)","enero",13,37
"113","LAGO GENESARET (L","enero",54,83
"114","LAGO RANCO (ART)","enero",35,54
"115","LA VICTORIA (ART)","enero",15,57
"116","LIDER (IND)","enero",10,34
"117","LIDIA C (ART)","enero",0,33
"118","LOBA DE MAR (ART)","enero",110,145
"119","LONCO (IND)","enero",1,29
"120","LOS VILOS II (ART)","enero",26,63
"121","LUCAS I (ART)","enero",22,48
"122","MAMA EDITH (ART)","enero",13,53
"123","MARBELLA II (ART)","enero",9,21
"124","MARCO POLO (ART)","enero",0,1
"125","MAR DE LIGURIA (ART)","enero",25,52
"126","MARIA CRUZ II (L","enero",0,7
"127","MARIA JOSE (IND)","enero",66,141
"128","MARIA TRINIDAD (ART)","enero",25,38
"129","MARIO ALBERTO (L","enero",0,8
"130","MAR PRIMERO (ART)","enero",30,55
"131","MARVENTO (ART)","enero",25,54
"132","MATIAS NICOLAS (ART)","enero",23,52
"133","MATIAS R (ART)","enero",19,44
"134","MAXIMO JAVIER (L","enero",0,11
"135","MILTON PATRICIO (L","enero",0,11
"136","MOISES II (ART)","enero",119,168
"137","NAZARETH II (ART)","enero",12,37
"138","NISSHIN MARU N°3 (IND)","enero",0,11
"139","NUESTRA SRA DE LA TIRANA II (IND)","enero",0,20
"140","PAOLA I (ART)","enero",29,54
"141","PAPA MARAVILLA III (ART)","enero",122,177
"142","PATRICIA VANESSA (ART)","enero",47,69
"143","PAULINA M (ART)","enero",18,42
"144","PEDRO L (L","enero",34,63
"145","PEHUENCO (IND)","enero",2,6
"146","PELICANO (IND)","enero",58,109
"147","POLARIS II (IND)","enero",83,201
"148","POSEIDON II (ART)","enero",16,48
"149","PUERTO BALLARTA (ART)","enero",17,41
"150","PUERTO BRAVO (ART)","enero",98,146
"151","PUNTA VERDE (ART)","enero",18,46
"152","QUERELEMA (IND)","enero",66,198
"153","QUIMERA (ART)","enero",27,54
"154","RAPANUI (IND)","enero",11,24
"155","RAUL CESAR (ART)","enero",18,46
"156","RAUL M (ART)","enero",23,55
"157","REY DE REYES (ART)","enero",20,31
"158","RIEKA I (ART)","enero",30,64
"159","RIMALFREDAN II (ART)","enero",16,54
"160","RIO JORDAN VII (L","enero",12,64
"161","RIO JORDAN X (ART)","enero",19,48
"162","RIO SIMPSON II (ART)","enero",133,170
"163","RIO SIMPSON (L","enero",44,59
"164","RODRIGO I (ART)","enero",34,52
"165","RUBY FRANCISCA (ART)","enero",24,47
