"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ABATE MOLINA","enero",47,82
"2","ANTARES (IND)","enero",0,8
"3","DON DAVID II (ART)","enero",4,13
"4","DON RAUL M (ART)","enero",0,10
"5","DUQUECO (IND)","enero",0,5
"6","JUAN CLAUDIO (ART)","enero",16,18
"7","LIDIA C (ART)","enero",18,37
"8","MARIA CRUZ II (L","enero",0,9
"9","MAXIMO JAVIER (L","enero",15,27
"10","MILTON PATRICIO (L","enero",41,55
"11","NUESTRA SRA DE LA TIRANA II (IND)","enero",0,8
"12","PEHUENCHE (ART)","enero",4,19
"13","POLARIS II (IND)","enero",3,18
"14","PUNTA BRAVA (ART)","enero",3,25
"15","ABATE MOLINA","febrero",0,6
"16","AGUILA REAL (ART)","febrero",3,4
"17","BUENA FE II (L","febrero",0,12
"18","CARLA BELEN I (L","febrero",67,99
"19","CENTURION 2000 (L","febrero",10,10
"20","CLAUDIA SOFIA (ART)","febrero",73,108
"21","CONY I (IND)","febrero",75,144
"22","DOÑA AMANDA (L","febrero",0,10
"23","DON CARLOS (L","febrero",0,16
"24","DON CESAR (ART)","febrero",0,7
"25","DON JULIO (BZA)","febrero",0,10
"26","DON NEN (L","febrero",2,2
"27","DON SEBASTIAN (L","febrero",36,73
"28","DON ULMES (ART)","febrero",0,0
"29","EBENEZER II (ART)","febrero",5,7
"30","ELENA S (IND)","febrero",0,8
"31","FEIDIPIDES (L","febrero",0,0
"32","GUERRERO DE PACIFICO (ART)","febrero",13,32
"33","JOSE BASILIO (L","febrero",0,10
"34","JOSE LUIS (ART)","febrero",0,9
"35","JUAN CLAUDIO (ART)","febrero",0,9
"36","LINARES (ART)","febrero",33,52
"37","LUIS ALBERTO I (L","febrero",6,15
"38","LUIS ALBERTO (L","febrero",0,10
"39","LUIS ANDRES I (L","febrero",4,26
"40","LUIS DAVID C (L","febrero",0,10
"41","MARIA CRUZ II (L","febrero",0,17
"42","MARIA M (L","febrero",32,44
"43","MAXIMO JAVIER (L","febrero",0,21
"44","MILTON PATRICIO (L","febrero",68,120
"45","NOEMI SIMONEY (ART)","febrero",0,1
"46","OSFRAMA (ART)","febrero",34,65
"47","PALMI II (ART)","febrero",8,19
"48","PAOLA STEPHANIE (L","febrero",20,35
"49","PEHUENCHE (ART)","febrero",3,18
"50","PUERTO LINDO (ART)","febrero",23,76
"51","PUNTA BRAVA (ART)","febrero",0,1
"52","RIO QUEULE I (ART)","febrero",51,75
"53","RIO TOLTEN I (ART)","febrero",36,62
"54","ROLANDO (ART)","febrero",1,1
"55","SAMARITANO (ART)","febrero",0,0
"56","SANTA IRENE III (L","febrero",0,9
"57","SANTA MARIA II (L","febrero",9,10
"58","SANTA PALESTINA I (L","febrero",0,10
"59","SOFIA M (L","febrero",100,107
"60","SUSANA III (ART)","febrero",29,94
"61","UNZEN (FAB)","febrero",0,4
"62","VENTURA I (L","febrero",17,18
"63","ALBERTO M (ART)","marzo",4,6
"64","ANTARES (IND)","marzo",0,6
"65","ARAUCANA III (L","marzo",18,34
"66","BENJAMIN (ART)","marzo",4,7
"67","BRUDER ALFA (ART-TRP)","marzo",0,10
"68","BUENA FE II (L","marzo",75,80
"69","CARACOLA (L","marzo",15,20
"70","CARLA BELEN I (L","marzo",83,150
"71","CENTURION 2000 (L","marzo",1,1
"72","CLAUDIA SOFIA (ART)","marzo",38,64
"73","CLAUDIO I (ART)","marzo",3,5
"74","CONY I (IND)","marzo",186,265
"75","DIEGO BENJAMIN (ART)","marzo",58,67
"76","DOÑA AMANDA (L","marzo",14,36
"77","DOÑA CARMELA","marzo",8,9
"78","DON ALFONSO IV (L","marzo",119,120
"79","DOÑA NIEVES (L","marzo",6,9
"80","DON BENJA (ART)","marzo",46,80
"81","DON CARLOS (L","marzo",149,241
"82","DON CHOLITO (ART)","marzo",0,0
"83","DON DANY (L","marzo",68,70
"84","DON DAVID II (ART)","marzo",0,9
"85","DON GERMAN I (L","marzo",67,99
"86","DON GILBERTO I (ART)","marzo",54,110
"87","DON JOAQUIN  (ART)","marzo",3,5
"88","DON JULIO (BZA)","marzo",0,11
"89","DON MATIAS I (L","marzo",4,32
"90","DON NENE (ART)","marzo",3,20
"91","DON SEBASTIAN (L","marzo",17,44
"92","DON TITO (IND)","marzo",7,32
"93","DON ULMES (ART)","marzo",6,10
"94","EBENEZER II (ART)","marzo",1,3
"95","FERNANDO ANDRES II (L","marzo",65,101
"96","GUERRERO DE PACIFICO (ART)","marzo",28,51
"97","HECTOR ALFREDO (L","marzo",29,79
"98","ISAAC II (ART)","marzo",0,0
"99","IVETH I (L","marzo",52,61
"100","JOSE BASILIO (L","marzo",0,10
"101","JOSE LUIS (ART)","marzo",134,155
"102","JOYA II (L","marzo",31,74
"103","JUAN CLAUDIO (ART)","marzo",35,53
"104","JUAN CLAUDIO II (L","marzo",82,140
"105","JUAN CLAUDIO I (L","marzo",102,149
"106","LIDIA C (ART)","marzo",214,237
"107","LINARES (ART)","marzo",2,4
"108","LUIS ALBERTO I (L","marzo",0,9
"109","LUIS ALBERTO (L","marzo",124,174
"110","LUIS ALFONSO I (L","marzo",136,185
"111","LUIS ANDRES I (L","marzo",0,11
"112","MARGOT MARIA IV (ART)","marzo",0,1
"113","MARIA CRUZ II (L","marzo",175,237
"114","MARIA EUGENIA M (L","marzo",0,8
"115","MARIA M (L","marzo",52,84
"116","MARJUXI IV (L","marzo",0,9
"117","MAR SEGUNDO (ART)","marzo",0,7
"118","MATIAS IGNACIO (L","marzo",0,8
"119","MILTON PATRICIO (L","marzo",58,89
"120","MORONI (L","marzo",0,9
