"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ABATE MOLINA","enero",37,63
"2","ACUARIO I (ART)","enero",0,8
"3","ANTARES (IND)","enero",0,9
"4","ARAUCANA III (L","enero",0,2
"5","BENJAMIN (ART)","enero",0,2
"6","CALYPSO III (L","enero",0,13
"7","DOÑA AMANDA (L","enero",84,94
"8","DON DAVID II (ART)","enero",6,12
"9","DON FELIX III (L","enero",0,5
"10","DON FELIX II (L","enero",0,3
"11","DON RAUL M (ART)","enero",0,7
"12","DUQUECO (IND)","enero",0,5
"13","JUAN CLAUDIO (ART)","enero",150,165
"14","LIDIA C (ART)","enero",30,51
"15","MARIA CRUZ II (L","enero",99,171
"16","MAXIMO JAVIER (L","enero",153,185
"17","MILTON PATRICIO (L","enero",53,67
"18","NOEMI SIMONEY (ART)","enero",0,4
"19","NUESTRA SRA DE LA TIRANA II (IND)","enero",0,8
"20","PEHUENCHE (ART)","enero",0,19
"21","POLARIS II (IND)","enero",2,16
"22","PUNTA BRAVA (ART)","enero",0,8
"23","SAN CARLOS II (L","enero",0,7
"24","SANTA BARBARA II (L","enero",1,7
"25","SANTA ISABEL IV (L","enero",0,2
"26","STA. ISABEL III (L","enero",0,2
"27","ABATE MOLINA","febrero",5,26
"28","AGUILA REAL (ART)","febrero",14,43
"29","ALBERTO M (ART)","febrero",15,32
"30","ARAUCANA III (L","febrero",144,224
"31","BUENA FE II (L","febrero",294,434
"32","CALYPSO III (L","febrero",0,4
"33","CARACOLA (L","febrero",20,27
"34","CARLA BELEN I (L","febrero",88,192
"35","CARMENCHA (L","febrero",0,6
"36","CLAUDIA SOFIA (ART)","febrero",254,349
"37","CLAUDIO I (ART)","febrero",45,114
"38","CONY I (IND)","febrero",174,236
"39","DOÑA AMANDA (L","febrero",303,459
"40","DOÑA CARMELA","febrero",4,16
"41","DON CARLOS (L","febrero",79,124
"42","DON CESAR (ART)","febrero",0,7
"43","DON CHOLITO (ART)","febrero",20,50
"44","DON JOAQUIN  (ART)","febrero",35,102
"45","DON JORGE M (ART)","febrero",0,5
"46","DON JULIO (BZA)","febrero",0,13
"47","DON SEBASTIAN (L","febrero",0,98
"48","DON ULMES (ART)","febrero",16,61
"49","EBENEZER II (ART)","febrero",37,119
"50","ELENA S (IND)","febrero",0,8
"51","FEIDIPIDES (L","febrero",17,56
"52","GUERRERO DE PACIFICO (ART)","febrero",380,433
"53","ISAAC II (ART)","febrero",71,131
"54","JOSE BASILIO (L","febrero",0,11
"55","JOSE LUIS (ART)","febrero",0,5
"56","JUAN CLAUDIO (ART)","febrero",478,569
"57","LINARES (ART)","febrero",0,72
"58","LUIS ALBERTO I (L","febrero",89,121
"59","LUIS ALBERTO (L","febrero",83,164
"60","LUIS ANDRES I (L","febrero",72,109
"61","LUIS DAVID C (L","febrero",0,10
"62","MARIA CRUZ II (L","febrero",259,447
"63","MARIA M (L","febrero",78,116
"64","MASTER (ART)","febrero",12,31
"65","MAXIMO JAVIER (L","febrero",58,82
"66","MILTON PATRICIO (L","febrero",219,260
"67","NOEMI SIMONEY (ART)","febrero",24,95
"68","OSFRAMA (ART)","febrero",2,87
"69","PALMI II (ART)","febrero",1,30
"70","PAOLA STEPHANIE (L","febrero",5,22
"71","PEHUENCHE (ART)","febrero",0,20
"72","PUERTO LINDO (ART)","febrero",147,272
"73","PUNTA BRAVA (ART)","febrero",27,115
"74","RIO QUEULE I (ART)","febrero",0,85
"75","RIO TOLTEN I (ART)","febrero",2,89
"76","RIO VALDIVIA (ART)","febrero",33,94
"77","ROLANDO (ART)","febrero",14,34
"78","SAMARITANO (ART)","febrero",26,78
