"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ACUARIO I (ART)","enero",6,44
"2","ACUARIO III (ART)","enero",0,16
"3","ANTARES (IND)","enero",2,63
"4","ANTARES II (ART)","enero",1,51
"5","ANTARES IV (ART)","enero",0,75
"6","BODANES (IND)","enero",3,209
"7","CALYPSO III (L","enero",0,37
"8","CAMPARI I (ART)","enero",1,47
"9","CAMPARI III (ART)","enero",0,12
"10","CARLOS FABIAN I (L","enero",180,232
"11","CONCEPCION (ART)","enero",0,73
"12","CORAL I (IND)","enero",0,5
"13","DOÑA AMANDA (L","enero",2,29
"14","DON ADRIAN II (L","enero",0,8
"15","DON ADRIAN (L","enero",0,9
"16","DON ALFONSO II (ART)","enero",28,56
"17","DON ALFREDO (L","enero",0,21
"18","DON DAVID II (ART)","enero",0,33
"19","DON FELIX III (L","enero",0,31
"20","DON FELIX II (L","enero",0,50
"21","DON FELIX (L","enero",0,49
"22","DON FRANCISCO I (ART)","enero",2,29
"23","DON LINO (ART)","enero",0,3
"24","DON NESTOR (L","enero",0,8
"25","DON RAUL I (ART)","enero",1,97
"26","DON RAUL M (ART)","enero",0,16
"27","DON TOMAS (L","enero",0,25
"28","DUQUECO (IND)","enero",0,15
"29","EL PACIFICO (ART)","enero",0,32
"30","ERICK GABRIEL (ART-TRP)","enero",0,18
"31","EUGENIO (ART)","enero",3,33
"32","FLOPY I (ART)","enero",0,15
"33","FRAPOLI (L","enero",0,21
"34","GUAYACAN I (ART)","enero",0,51
"35","HURACAN I (ART)","enero",5,45
"36","ISLA LLAHUEN (ART)","enero",1,91
"37","JACKIE (L","enero",0,22
"38","KOKALECA III (ART)","enero",0,31
"39","LIDIA C (ART)","enero",65,99
"40","LONCONAO (ART)","enero",2,33
"41","LUCIA PALMIRA (L","enero",0,1
"42","MARIA CRUZ II (L","enero",11,24
"43","MARIA INES (L","enero",0,10
"44","MARIANA B (ART)","enero",0,1
"45","MAR SEGUNDO (ART)","enero",0,37
"46","MATIAS IGNACIO (L","enero",0,12
"47","NOEMI SIMONEY (ART)","enero",0,17
"48","NUESTRA SRA DE LA TIRANA II (IND)","enero",3,21
"49","OCEANI III (ART)","enero",1,1
"50","ORION IV (ART)","enero",2,20
"51","PEHUENCHE (ART)","enero",0,1
"52","PIGARGO (ART)","enero",0,2
