"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ACUARIO I (ART)","enero",137,223
"2","ACUARIO III (ART)","enero",0,2
"3","ANTARES (IND)","enero",0,1
"4","BODANES (IND)","enero",0,70
"5","CALYPSO III (L","enero",0,29
"6","DON ADRIAN II (L","enero",221,319
"7","DON ADRIAN (L","enero",212,319
"8","DON ALAMIRO","enero",0,3
"9","DON ALFONSO II (ART)","enero",11,25
"10","DON ALFREDO (L","enero",57,122
"11","DON FELIX III (L","enero",304,430
"12","DON FELIX II (L","enero",298,440
"13","DON FELIX (L","enero",331,497
"14","DON LINO (ART)","enero",239,328
"15","DON NESTOR (L","enero",0,72
"16","DON OSCAR (ART)","enero",0,4
"17","DON RAUL I (ART)","enero",0,2
"18","DON TOMAS (L","enero",0,103
"19","EL DANUBIO AZUL (ART)","enero",0,2
"20","FELIPE EDUARDO (ART)","enero",0,16
"21","FLOPY I (ART)","enero",202,295
"22","FRAPOLI (L","enero",245,381
"23","FRIOSUR IX (IND)","enero",609,703
"24","FRIOSUR VIII (IND)","enero",0,22
"25","FRIOSUR X (IND)","enero",281,349
"26","GUAYACAN I (ART)","enero",0,2
"27","JACKIE (L","enero",194,301
"28","MARIA INES (L","enero",9,140
"29","MATIAS IGNACIO (L","enero",0,103
"30","PUERTO BALLENA (FAB)","enero",43,102
"31","PUERTO TORO (FAB)","enero",31,50
"32","PUNTA DEL ESTE (L","enero",82,146
"33","SAN CARLOS II (L","enero",3,71
"34","SAN SEBASTIAN I","enero",0,11
"35","SANTA BARBARA II (L","enero",0,46
"36","TOTO (ART)","enero",0,8
"37","ABUELITA FLOR  (ART)","febrero",0,35
"38","ACUARIO I (ART)","febrero",157,283
"39","ACUARIO III (ART)","febrero",0,3
"40","ANTARES (IND)","febrero",0,1
"41","BODANES (IND)","febrero",0,40
"42","CALYPSO III (L","febrero",156,269
"43","CISNE BLANCO (FAB)","febrero",17,25
"44","DON ADRIAN II (L","febrero",94,231
"45","DON ADRIAN (L","febrero",189,314
"46","DON ALAMIRO","febrero",0,14
"47","DON ALFONSO II (ART)","febrero",32,46
"48","DON ALFREDO (L","febrero",1,51
"49","DON DAVID II (ART)","febrero",122,261
"50","DON EDUARDO II (ART-TRP)","febrero",0,23
"51","DON FELIX III (L","febrero",199,256
"52","DON LINO (ART)","febrero",88,207
"53","DON NESTOR (L","febrero",30,133
