"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","CISNE BLANCO (FAB)","enero",604,758
"2","DIEGO RAMIREZ (FAB)","enero",13,21
"3","DON ALFREDO (L","enero",69,130
"4","DON NESTOR (L","enero",174,257
"5","DON TOMAS (L","enero",383,422
"6","FITZ ROY (ART-TRP)","enero",12,56
"7","FLOPY I (ART)","enero",0,23
"8","FRAPOLI (L","enero",0,1
"9","FRIOSUR VIII (IND)","enero",0,12
"10","GLOBAL PESCA II (FAB)","enero",383,726
"11","GLOBAL PESCA III (FAB)","enero",317,675
"12","GREISIS NICOL II (ART)","enero",0,5
"13","JACKIE (L","enero",51,66
"14","MARIA INES (L","enero",356,435
"15","MATIAS IGNACIO (L","enero",292,410
"16","POLACO I (ART-TRP)","enero",0,20
"17","PUERTO WILLIAMS (FAB)","enero",411,651
"18","SAN CARLOS II (L","enero",43,47
"19","SANTA BARBARA II (L","enero",0,3
"20","ANTARCTIC ENDEAVOUR (FAB)","febrero",0,47
"21","CISNE BLANCO (FAB)","febrero",675,842
"22","DON ALFREDO (L","febrero",192,262
"23","DON DAVID II (ART)","febrero",261,343
"24","DON LINO (ART)","febrero",98,149
"25","DON PEY II (ART)","febrero",0,0
"26","FERNANDO ANDRES III (TRP-V)","febrero",0,30
"27","FITZ ROY (ART-TRP)","febrero",4,68
"28","FRIOSUR VIII (IND)","febrero",0,25
"29","GLOBAL PESCA I (FAB)","febrero",0,45
"30","GLOBAL PESCA II (FAB)","febrero",558,897
"31","GLOBAL PESCA III (FAB)","febrero",638,948
"32","GREISIS NICOL II (ART)","febrero",1,20
"33","MARGOT MARIA (ART-TRP)","febrero",0,115
"34","MATIAS IGNACIO (L","febrero",188,261
"35","POLACO I (ART-TRP)","febrero",0,7
"36","PUERTO TORO (FAB)","febrero",122,160
"37","PUERTO WILLIAMS (FAB)","febrero",490,867
"38","RUCACH I (ART-TRP)","febrero",0,130
"39","SAN CARLOS II (L","febrero",12,14
"40","SANTA BARBARA II (L","febrero",264,419
"41","SANTA ISABEL IV (L","febrero",196,301
"42","STA. ISABEL III (L","febrero",83,127
"43","STA. ISABEL I (L","febrero",65,124
"44","UNZEN (FAB)","febrero",13,59
