"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ABATE MOLINA","enero",311,604
"2","ABEL (ART)","enero",7,22
"3","ABRAHAM (ART)","enero",2,11
"4","ABUELITA FRESIA (L","enero",51,120
"5","ACHERNAR (ART)","enero",14,45
"6","ACUARIO I (ART)","enero",142,274
"7","ACUARIO III (ART)","enero",0,18
"8","ACUARIO IV (ART)","enero",144,190
"9","ADRIANA   ART","enero",19,52
"10","ADRIANA IX (ART)","enero",29,61
"11","ADRIANA V (ART)","enero",20,46
"12","ALBIMER (IND)","enero",25,224
"13","ALERCE (IND)","enero",32,313
"14","ALTAIR I (IND)","enero",0,1
"15","AMADEUS (ART)","enero",7,22
"16","AMADEUS II (ART)","enero",8,21
"17","ANDREA C (ART)","enero",27,58
"18","ANGAMOS 2 (IND)","enero",0,4
"19","ANGAMOS 3 (IND)","enero",23,238
"20","ANGAMOS 4 (IND)","enero",25,217
"21","ANGAMOS 9 (IND)","enero",24,210
"22","ANGELA VALENTINA (ART)","enero",29,55
"23","ANSELMO I (ART)","enero",7,51
"24","ANTARES (IND)","enero",4,102
"25","ANTARES II (ART)","enero",1,51
"26","ANTARES IV (ART)","enero",0,75
"27","ANTARES V (ART)","enero",17,47
"28","AQUILES PANCHO I  (IND)","enero",78,125
"29","ARAUCANA III (L","enero",0,2
"30","ARKHOS I (ART)","enero",6,22
"31","ARKHOS II (ART)","enero",8,20
"32","ARKHOS IV (ART)","enero",10,25
"33","ARMANDO S (ART)","enero",20,46
"34","ATACAMA IV (IND)","enero",40,165
"35","ATACAMA V (IND)","enero",23,116
"36","AUDAZ (IND)","enero",37,220
"37","AVENTURERO (IND)","enero",29,237
"38","AZARIEL (ART)","enero",8,43
"39","BANDURRIA (IND)","enero",47,304
"40","BARRACUDA IV (IND)","enero",45,198
"41","BENJAMIN (ART)","enero",0,2
"42","BIO BIO (ART)","enero",29,56
"43","BLANQUILLO (IND)","enero",19,230
"44","BODANES (IND)","enero",3,279
"45","BONN (IND)","enero",218,449
"46","BRISA (L","enero",61,96
"47","BRUDER ALFA (ART-TRP)","enero",24,282
"48","BUCANERO I (IND)","enero",90,221
"49","BUENA FE II (L","enero",0,21
"50","CALYPSO III (L","enero",0,79
"51","CAMIÑA (IND)","enero",40,293
"52","CAMPARI I (ART)","enero",1,47
"53","CAMPARI III (ART)","enero",0,12
"54","CANDELARIA II (ART)","enero",57,224
"55","CAPELLO (ART)","enero",20,43
"56","CARLOS EMILIO (ART)","enero",26,57
"57","CARLOS FABIAN I (L","enero",180,232
"58","CARLOS PATRICIO (ART)","enero",2,2
"59","CAZADOR (IND)","enero",56,177
"60","CENTURION 2000 (L","enero",179,228
"61","CESAR MIGUEL (ART)","enero",4,23
"62","CHANGO (ART)","enero",19,48
"63","CHANGO I (ART)","enero",10,160
"64","CHENCO (ART)","enero",10,23
"65","CHUBASCO I (ART)","enero",14,94
"66","CISNE BLANCO (FAB)","enero",604,758
"67","CLAUDIA ALEJANDRA (IND)","enero",30,215
"68","COBRA (IND)","enero",57,157
"69","COCHA (IND)","enero",94,175
"70","COLLEN (IND)","enero",0,36
"71","CONCEPCION (ART)","enero",0,73
