"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ABEL (ART)","enero",7,636
"2","ABRAHAM (ART)","enero",2,527
"3","ALERCE (IND)","enero",0,10
"4","AMADEUS (ART)","enero",7,296
"5","AMADEUS II (ART)","enero",8,636
"6","ANGAMOS 2 (IND)","enero",0,189
"7","ANGAMOS 4 (IND)","enero",8,456
"8","ANGAMOS 9 (IND)","enero",7,420
"9","ARKHOS I (ART)","enero",6,635
"10","ARKHOS II (ART)","enero",8,636
"11","ARKHOS IV (ART)","enero",11,636
"12","ATACAMA IV (IND)","enero",4,16
"13","ATACAMA V (IND)","enero",2,17
"14","AUDAZ (IND)","enero",11,426
"15","AVENTURERO (IND)","enero",0,2
"16","BANDURRIA (IND)","enero",0,12
"17","BARRACUDA IV (IND)","enero",0,4
"18","BLANQUILLO (IND)","enero",0,3
"19","CAMIÑA (IND)","enero",0,7
"20","CESAR MIGUEL (ART)","enero",4,636
"21","CHANGO I (ART)","enero",10,252
"22","CHENCO (ART)","enero",10,565
"23","COSTA GRANDE 1 (IND)","enero",3,6
"24","COYI I (ART)","enero",0,637
"25","COYI II (ART)","enero",12,636
"26","DANIEL (ART)","enero",7,636
"27","DOÑA BELLA (L","enero",27,27
"28","DOÑA PILAR II (ART)","enero",10,617
"29","DON ERNESTO AYALA MARFIL (IND)","enero",5,438
"30","DON GINO (IND)","enero",4,21
"31","DON JOSE I (ART)","enero",11,618
"32","DON LUCHO (ART)","enero",0,395
"33","EPERVA 49 (IND)","enero",0,10
"34","EPERVA 51 (IND)","enero",4,410
"35","EPERVA 56 (IND)","enero",0,636
"36","EPERVA 61 (IND)","enero",8,258
"37","EPERVA 62 (IND)","enero",2,409
"38","GIANPIERO I","enero",0,5
"39","GRINGO PABLO II (ART)","enero",1,636
"40","GUAJACHE II (ART)","enero",6,635
"41","HALCON (IND)","enero",0,10
"42","HUMBOLDT II (ART)","enero",15,248
"43","HURACAN (IND)","enero",3,30
"44","ICALMA (IND)","enero",10,477
"45","INTREPIDO (IND)","enero",0,8
"46","ISAURA I (ART)","enero",2,615
"47","ISIDORA I     ART","enero",1,332
"48","J J (ART)","enero",12,586
"49","JOSUE (ART)","enero",8,284
"50","JUDITH (ART)","enero",0,636
"51","KAREN PAMELA (ART)","enero",4,129
"52","KAWESCAR (ART)","enero",0,70
"53","LAZARO (ART)","enero",0,20
"54","LOA 2 (IND)","enero",2,16
"55","LOBO DE AFUERA IV (ART)","enero",12,636
"56","LOBO DE AFUERA V (ART)","enero",9,636
"57","LORETO V (ART)","enero",7,635
"58","MARCELO RODOLFO (ART)","enero",9,636
"59","MARLIN (IND)","enero",0,2
"60","MERO (IND)","enero",0,9
"61","PARINA I (IND)","enero",6,443
"62","PELICANO (IND)","enero",9,596
"63","PETROHUE I (ART)","enero",8,637
"64","PETROHUE II (ART)","enero",8,268
"65","PETROHUE III (ART)","enero",7,636
"66","PUCARA (IND)","enero",4,458
"67","RINA F Y M","enero",0,205
"68","SALMON (IND)","enero",0,26
"69","SAN JORGE I (IND)","enero",0,11
"70","SHALON II (ART)","enero",7,636
"71","TORNADO (IND)","enero",0,27
"72","TUAREG I (ART)","enero",9,633
"73","VALENCIA (ART)","enero",10,150
"74","VALENTINA (L","enero",0,14
"75","ABEL (ART)","febrero",0,596
"76","ABRAHAM (ART)","febrero",2,596
"77","AMADEUS II (ART)","febrero",0,596
"78","ANGAMOS 2 (IND)","febrero",1,596
"79","ANGAMOS 4 (IND)","febrero",1,596
"80","ANGAMOS 9 (IND)","febrero",1,596
"81","ARKHOS I (ART)","febrero",0,596
"82","ARKHOS II (ART)","febrero",0,596
"83","ARKHOS IV (ART)","febrero",0,555
"84","AUDAZ (IND)","febrero",2,574
"85","BLANQUILLO (IND)","febrero",0,8
"86","CESAR MIGUEL (ART)","febrero",1,596
"87","CHENCO (ART)","febrero",15,548
"88","CORPESCA I (IND)","febrero",0,23
"89","COYI I (ART)","febrero",0,307
"90","COYI II (ART)","febrero",0,596
"91","DANIEL (ART)","febrero",0,596
"92","DEL MAR III","febrero",0,0
"93","DOÑA PILAR II (ART)","febrero",0,596
"94","DON ERNESTO AYALA MARFIL (IND)","febrero",1,475
"95","DON JOSE I (ART)","febrero",1,357
"96","ELVA S (ART","febrero",0,5
"97","EPERVA 51 (IND)","febrero",1,520
"98","EPERVA 56 (IND)","febrero",0,579
"99","EPERVA 62 (IND)","febrero",5,596
"100","GIANPIERO I","febrero",1,4
"101","GRINGO PABLO II (ART)","febrero",0,510
"102","GUAJACHE II (ART)","febrero",0,595
"103","ICALMA (IND)","febrero",1,573
"104","ISAURA I (ART)","febrero",0,540
"105","ISIDORA I     ART","febrero",1,31
"106","J J (ART)","febrero",0,481
"107","JOSUE (ART)","febrero",0,239
"108","JUDITH (ART)","febrero",0,510
"109","KAWESCAR (ART)","febrero",0,596
"110","LAZARO (ART)","febrero",88,468
"111","LOBO DE AFUERA IV (ART)","febrero",0,317
"112","LOBO DE AFUERA V (ART)","febrero",0,596
"113","LORETO V (ART)","febrero",0,364
"114","MARCELO RODOLFO (ART)","febrero",0,596
"115","PARINA I (IND)","febrero",2,596
"116","PELICANO (IND)","febrero",1,502
"117","PETROHUE I (ART)","febrero",1,596
"118","PETROHUE II (ART)","febrero",0,8
"119","PETROHUE III (ART)","febrero",0,596
"120","PUCARA (IND)","febrero",0,547
"121","RELAMPAGO (IND)","febrero",0,32
"122","RINA F Y M","febrero",0,1
"123","SHALON II (ART)","febrero",0,596
"124","TUAREG I (ART)","febrero",0,595
"125","VALENTINA (L","febrero",0,5
"126","ABEL (ART)","marzo",25,624
"127","ABRAHAM (ART)","marzo",22,629
"128","ALBIMER (IND)","marzo",8,28
"129","AMADEUS II (ART)","marzo",20,626
"130","ANGAMOS 2 (IND)","marzo",8,525
"131","ANGAMOS 3 (IND)","marzo",2,5
"132","ANGAMOS 4 (IND)","marzo",5,488
"133","ANGAMOS 9 (IND)","marzo",3,481
"134","ARKHOS I (ART)","marzo",24,628
"135","ARKHOS II (ART)","marzo",28,624
"136","ARKHOS III (ART)","marzo",37,595
"137","ARKHOS IV (ART)","marzo",29,626
"138","ATACAMA IV (IND)","marzo",3,5
"139","ATACAMA V (IND)","marzo",12,22
"140","AUDAZ (IND)","marzo",7,487
"141","AVENTURERO (IND)","marzo",1,4
"142","BARRACUDA IV (IND)","marzo",7,12
"143","CESAR MIGUEL (ART)","marzo",25,623
"144","CHANGO I (ART)","marzo",9,349
"145","CHENCO (ART)","marzo",13,183
