"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ALBIMER (IND)","enero",3,96
"2","ALERCE (IND)","enero",7,137
"3","ANGAMOS 3 (IND)","enero",8,106
"4","ANGAMOS 4 (IND)","enero",12,73
"5","ANGAMOS 9 (IND)","enero",8,59
"6","ATACAMA IV (IND)","enero",6,41
"7","ATACAMA V (IND)","enero",8,48
"8","AUDAZ (IND)","enero",5,53
"9","AVENTURERO (IND)","enero",8,133
"10","BANDURRIA (IND)","enero",15,130
"11","BARRACUDA IV (IND)","enero",9,69
"12","BLANQUILLO (IND)","enero",6,115
"13","CAMIÑA (IND)","enero",14,136
"14","CHANGO I (ART)","enero",0,33
"15","CLAUDIA ALEJANDRA (IND)","enero",10,97
"16","COLLEN (IND)","enero",0,22
"17","COSTA GRANDE 1 (IND)","enero",7,47
"18","DON ERNESTO AYALA MARFIL (IND)","enero",13,64
"19","DON GINO (IND)","enero",10,129
"20","EPERVA 49 (IND)","enero",9,158
"21","EPERVA 51 (IND)","enero",6,61
"22","EPERVA 61 (IND)","enero",1,27
"23","EPERVA 62 (IND)","enero",10,68
"24","EPERVA 65 (IND)","enero",1,100
"25","EPERVA 66 (IND)","enero",18,131
"26","GIANPIERO I","enero",0,29
"27","HALCON (IND)","enero",9,127
"28","HUMBOLDT II (ART)","enero",0,39
"29","HURACAN (IND)","enero",18,115
"30","ICALMA (IND)","enero",5,33
"31","INTREPIDO (IND)","enero",20,127
"32","LICANTEN (IND)","enero",0,23
"33","LOA 2 (IND)","enero",9,42
"34","MARLIN (IND)","enero",10,75
"35","MERO (IND)","enero",10,121
"36","PARINA I (IND)","enero",6,64
"37","PUCARA (IND)","enero",3,52
"38","RELAMPAGO (IND)","enero",0,6
"39","SALMON (IND)","enero",10,118
"40","SAN JORGE I (IND)","enero",9,116
"41","TORNADO (IND)","enero",12,106
"42","VALENTINA (L","enero",0,31
"43","ABATE MOLINA","febrero",13,64
"44","ABUELITA FRESIA (L","febrero",47,50
"45","ALBIMER (IND)","febrero",0,19
"46","ALERCE (IND)","febrero",5,37
"47","ATACAMA V (IND)","febrero",0,24
"48","AVENTURERO (IND)","febrero",0,13
"49","BANDURRIA (IND)","febrero",5,37
"50","DON GINO (IND)","febrero",0,14
"51","EPERVA 49 (IND)","febrero",6,38
"52","HURACAN (IND)","febrero",0,13
"53","VALENTINA (L","febrero",2,30
"54","ABUELITA FRESIA (L","marzo",189,205
"55","ALBIMER (IND)","marzo",24,68
"56","ALDEBARAN II (ART)","marzo",42,107
"57","ALERCE (IND)","marzo",12,110
"58","ANGAMOS 2 (IND)","marzo",4,14
"59","ANGAMOS 3 (IND)","marzo",9,72
"60","ANGAMOS 4 (IND)","marzo",3,8
"61","ANGAMOS 9 (IND)","marzo",12,39
"62","ATACAMA IV (IND)","marzo",8,40
"63","ATACAMA V (IND)","marzo",7,53
"64","AUDAZ (IND)","marzo",14,41
"65","AVENTURERO (IND)","marzo",7,62
"66","BANDURRIA (IND)","marzo",18,119
"67","BARRACUDA IV (IND)","marzo",6,75
"68","CAMIÑA (IND)","marzo",6,91
"69","CHANGO I (ART)","marzo",0,29
"70","CLAUDIA ALEJANDRA (IND)","marzo",24,76
"71","COLLEN (IND)","marzo",8,34
"72","CORPESCA 2 (IND)","marzo",2,43
"73","CORPESCA I (IND)","marzo",7,46
"74","COSTA GRANDE 1 (IND)","marzo",15,47
"75","DON ALEJANDRO II (ART)","marzo",140,199
"76","DOÑA MERCEDES (ART)","marzo",54,115
"77","DON ELEUTERIO (ART)","marzo",51,118
"78","DON ERNESTO AYALA MARFIL (IND)","marzo",7,26
"79","DON GINO (IND)","marzo",12,59
"80","DON LUIS (LM)","marzo",42,123
"81","DON RUFINO II (ART)","marzo",50,114
"82","ENRIQUETA (ART)","marzo",7,56
"83","EPERVA 49 (IND)","marzo",13,83
"84","EPERVA 51 (IND)","marzo",6,29
"85","EPERVA 56 (IND)","marzo",4,38
"86","EPERVA 62 (IND)","marzo",9,32
"87","EPERVA 65 (IND)","marzo",11,62
"88","EPERVA 66 (IND)","marzo",10,80
"89","GAROTA I (ART)","marzo",49,115
"90","HALCON (IND)","marzo",13,127
"91","HURACAN (IND)","marzo",12,64
"92","ICALMA (IND)","marzo",4,11
"93","INTREPIDO (IND)","marzo",16,127
"94","LA ANGELITA (ART)","marzo",60,129
"95","LICANTEN (IND)","marzo",12,43
"96","LOA 1 (IND)","marzo",7,37
"97","LOA 2 (IND)","marzo",7,39
"98","LOA 7 (IND)","marzo",9,35
"99","MARIA ELENA (ART)","marzo",3,10
"100","MARIA EUGENIA M (L","marzo",61,117
"101","MARLIN (IND)","marzo",9,57
"102","MARY PAZ II (ART)","marzo",45,95
"103","MERO (IND)","marzo",10,77
"104","PARINA I (IND)","marzo",10,30
"105","RELAMPAGO (IND)","marzo",12,61
"106","SALMON (IND)","marzo",8,83
"107","SAN JORGE I (IND)","marzo",13,103
"108","SANTO ISIDORO (L","marzo",210,267
"109","SOCOROMA (ART)","marzo",43,117
"110","SOCOROMA I (ART)","marzo",48,116
"111","TRINQUETE (ART)","marzo",54,136
"112","ABATE MOLINA","abril",109,223
"113","ALBIMER (IND)","abril",2,11
"114","ALDEBARAN II (ART)","abril",100,182
"115","ALERCE (IND)","abril",0,16
"116","ANGAMOS 2 (IND)","abril",13,51
"117","ANGAMOS 3 (IND)","abril",17,59
"118","ANGAMOS 4 (IND)","abril",14,39
"119","ANGAMOS 9 (IND)","abril",11,54
"120","ATACAMA IV (IND)","abril",1,25
"121","ATACAMA V (IND)","abril",3,17
"122","AUDAZ (IND)","abril",16,57
"123","AVENTURERO (IND)","abril",10,48
"124","BARRACUDA IV (IND)","abril",17,55
"125","BETTY YULY (L","abril",118,148
"126","CAZADOR (L","abril",0,1
"127","CHELITA I (ART)","abril",35,61
"128","CLAUDIA ALEJANDRA (IND)","abril",15,35
"129","CORPESCA 2 (IND)","abril",8,41
"130","COSTA GRANDE 1 (IND)","abril",6,30
"131","DOÑA BELLA (L","abril",302,333
"132","DON ALEJANDRO II (ART)","abril",142,202
"133","DOÑA MERCEDES (ART)","abril",107,180
"134","DON ELEUTERIO (ART)","abril",114,194
"135","DON ERNESTO AYALA MARFIL (IND)","abril",17,49
"136","DON GERMAN I (L","abril",73,104
"137","DON GINO (IND)","abril",20,52
"138","DON LUIS (LM)","abril",76,191
"139","DON RUFINO II (ART)","abril",114,193
"140","ENRIQUETA (ART)","abril",6,59
"141","EPERVA 51 (IND)","abril",17,49
"142","EPERVA 56 (IND)","abril",16,50
"143","EPERVA 61 (IND)","abril",10,40
"144","EPERVA 62 (IND)","abril",14,53
"145","EPERVA 66 (IND)","abril",14,47
"146","GAROTA I (ART)","abril",115,208
"147","HALCON (IND)","abril",27,115
"148","HUMBOLDT II (ART)","abril",0,30
"149","HURACAN (IND)","abril",6,14
"150","ICALMA (IND)","abril",12,39
"151","INTREPIDO (IND)","abril",41,122
"152","LA ANGELITA (ART)","abril",45,70
"153","LICANTEN (IND)","abril",8,21
"154","LOA 1 (IND)","abril",1,22
"155","MARIA EUGENIA M (L","abril",149,253
"156","MARLIN (IND)","abril",20,71
"157","MARY PAZ II (ART)","abril",109,172
"158","MELISSA KAREN (L","abril",74,106
