"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ABATE MOLINA","enero",55,121
"2","AQUILES PANCHO I  (IND)","enero",58,103
"3","BRUDER ALFA (ART-TRP)","enero",24,179
"4","CHANGO I (ART)","enero",0,13
"5","COCHA (IND)","enero",23,41
"6","DON CLAUDIO (L","enero",0,5
"7","DON STEFAN (IND)","enero",10,81
"8","ELBE (IND)","enero",43,101
"9","FOCHE (IND)","enero",1,19
"10","GIANPIERO I","enero",0,13
"11","GRINGO (IND)","enero",73,102
"12","HUMBOLDT II (ART)","enero",0,14
"13","ISLA PICTON","enero",30,43
"14","ISLA TABON (L","enero",10,38
"15","MARIA EMPERATRIZ  III (IND)","enero",73,123
"16","NISSHIN MARU N°3 (IND)","enero",8,32
"17","ORIENTE (ART)","enero",201,255
"18","OYSTER III (ART)","enero",5,37
"19","PUMA II (ART)","enero",167,194
"20","PUNTA TALCA (ART)","enero",0,20
"21","SKORPION (IND)","enero",79,149
"22","TIO GRINGO (IND)","enero",11,32
"23","UNIONSUR (FAB)","enero",0,6
"24","UNZEN (FAB)","enero",0,4
"25","VALENTINA (L","enero",0,12
"26","ABATE MOLINA","febrero",0,15
"27","AQUILES PANCHO I  (IND)","febrero",52,82
"28","ARIES I (ART)","febrero",8,12
"29","BETTY YULY (L","febrero",11,24
"30","BRUDER ALFA (ART-TRP)","febrero",0,8
"31","COCHA (IND)","febrero",20,41
"32","DON ENZO (ART)","febrero",4,23
"33","DON GERMAN I (L","febrero",0,8
"34","DON HELENO (L","febrero",0,7
"35","DON STEFAN (IND)","febrero",0,31
"36","ELBE (IND)","febrero",42,86
"37","EL CHILE (ART)","febrero",9,21
"38","FOCHE (IND)","febrero",5,59
"39","GRINGO (IND)","febrero",33,130
"40","ISLA PICTON","febrero",90,143
"41","ISLA TABON (L","febrero",85,92
"42","JECHITO VI (L","febrero",0,4
"43","JOYA DEL PACIFICO (L","febrero",142,197
"44","LIDER (IND)","febrero",1,4
"45","MAMITA RITA (L","febrero",0,6
"46","MARIA EMPERATRIZ  III (IND)","febrero",10,14
"47","MARIA LORETO (L","febrero",181,191
"48","MARIELA SOLEDAD","febrero",40,55
"49","NISSHIN MARU N°3 (IND)","febrero",61,110
"50","ORIENTE (ART)","febrero",311,371
"51","OYSTER III (ART)","febrero",9,34
"52","POLUX (IND)","febrero",47,59
"53","PUMA II (ART)","febrero",228,258
"54","PUNTA DE HUMO (L","febrero",93,124
"55","SKORPION (IND)","febrero",97,143
"56","SKORPION II (ART)","febrero",0,12
"57","UNZEN (FAB)","febrero",0,5
"58","VALENTINA (L","febrero",0,11
"59","ABATE MOLINA","marzo",36,63
"60","AQUILES PANCHO I  (IND)","marzo",53,75
"61","BETTY YULY (L","marzo",0,8
"62","BRUDER ALFA (ART-TRP)","marzo",0,12
"63","BUCANERO I (IND)","marzo",7,9
"64","CAICAVEN (L","marzo",1,34
"65","CHANGO I (ART)","marzo",0,12
"66","COCHA (IND)","marzo",0,18
"67","CORSARIO I (IND)","marzo",5,7
"68","DON ALFONSO (IND)","marzo",7,7
"69","DON ALFONSO IV (L","marzo",145,167
"70","DON BORIS (IND)","marzo",4,12
"71","DON ENZO (ART)","marzo",14,53
"72","DON STEFAN (IND)","marzo",46,128
"73","EL CHILE (ART)","marzo",5,18
"74","FERNANDO ANDRES II (L","marzo",0,6
"75","FOCHE (IND)","marzo",27,90
"76","GRINGO (IND)","marzo",117,228
"77","ISLA TABON (L","marzo",145,169
"78","JOYA DEL PACIFICO (L","marzo",155,180
"79","LEONORA (L","marzo",12,29
"80","LIDER (IND)","marzo",5,13
