"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ABATE MOLINA","enero",33,43
"2","AQUILES PANCHO I  (IND)","enero",20,22
"3","CHANGO I (ART)","enero",0,7
"4","COCHA (IND)","enero",0,8
"5","DON CLAUDIO (L","enero",0,9
"6","DON JORGE","enero",0,1
"7","DON JULIO (BZA)","enero",11,17
"8","DON STEFAN (IND)","enero",52,66
"9","ELBE (IND)","enero",53,80
"10","FOCHE (IND)","enero",27,38
"11","GIANPIERO I","enero",0,6
"12","GRINGO (IND)","enero",0,7
"13","HUMBOLDT II (ART)","enero",0,8
"14","ISLA PICTON","enero",0,7
"15","MARIA EMPERATRIZ  III (IND)","enero",25,27
"16","MARIA JOSE (IND)","enero",2,5
"17","NISSHIN MARU N°3 (IND)","enero",20,33
"18","SAN JOSE (IND)","enero",8,9
"19","SKORPION (IND)","enero",42,43
"20","TIO GRINGO (IND)","enero",15,17
"21","UNIONSUR (FAB)","enero",0,4
"22","UNZEN (FAB)","enero",0,3
"23","VALENTINA (L","enero",0,6
"24","VENTISQUERO (IND)","enero",28,57
"25","VESTERVEG (IND)","enero",5,8
"26","VICHUQUEN II (IND)","enero",2,9
"27","ABATE MOLINA","febrero",0,5
"28","AQUILES PANCHO I  (IND)","febrero",1,2
"29","BRUMA (L","febrero",42,59
"30","COCHA (IND)","febrero",39,56
"31","CORSARIO I (IND)","febrero",0,3
"32","DON GERMAN I (L","febrero",0,7
"33","DON STEFAN (IND)","febrero",37,56
"34","DON TITO (IND)","febrero",6,17
"35","ELBE (IND)","febrero",40,49
"36","FOCHE (IND)","febrero",81,111
"37","GRINGO (IND)","febrero",50,68
"38","HUANAY (L","febrero",102,116
"39","ISLA PICTON","febrero",26,39
"40","JAVIER (IND)","febrero",10,18
"41","JECHITO VI (L","febrero",0,7
"42","LEONORA (L","febrero",43,48
"43","LIDER (IND)","febrero",19,55
"44","MARIA JOSE (IND)","febrero",0,1
"45","MARIELA SOLEDAD","febrero",79,123
"46","NISSHIN MARU N°3 (IND)","febrero",24,36
"47","PEHUENCO (IND)","febrero",2,3
"48","PINITA (L","febrero",137,145
"49","POLARIS II (IND)","febrero",0,7
"50","POLUX (IND)","febrero",0,7
"51","PUNTA DE HUMO (L","febrero",0,8
"52","QUERELEMA (IND)","febrero",17,29
"53","RAPANUI (IND)","febrero",0,0
"54","SAN JOSE (IND)","febrero",10,14
"55","SKORPION (IND)","febrero",3,4
"56","TRAVESIA (L","febrero",21,23
"57","UNZEN (FAB)","febrero",0,3
"58","VALENTINA (L","febrero",0,5
"59","VENTISQUERO (IND)","febrero",1,3
"60","VESTERVEG (IND)","febrero",2,2
"61","BRUDER ALFA (ART-TRP)","marzo",0,8
"62","BRUMA (L","marzo",167,200
"63","BUCANERO I (IND)","marzo",0,8
"64","CAICAVEN (L","marzo",0,15
"65","CAZADOR (IND)","marzo",6,9
"66","CHANGO I (ART)","marzo",0,6
"67","COCHA (IND)","marzo",0,7
"68","CORSARIO I (IND)","marzo",0,8
"69","DON ALFONSO (IND)","marzo",8,24
"70","DON ALFONSO IV (L","marzo",48,48
"71","DON BORIS (IND)","marzo",0,9
"72","DON JULIO (BZA)","marzo",19,29
"73","DON MANUEL (IND)","marzo",2,15
"74","DON STEFAN (IND)","marzo",57,96
"75","FERNANDO ANDRES II (L","marzo",0,9
"76","FOCHE (IND)","marzo",69,95
"77","GRINGO (IND)","marzo",57,71
"78","HUANAY (L","marzo",87,94
"79","JAVIER (IND)","marzo",0,9
"80","LEONORA (L","marzo",28,37
"81","LIDER (IND)","marzo",7,18
"82","LONCO (IND)","marzo",23,40
"83","MARIA EMPERATRIZ  III (IND)","marzo",2,2
"84","MARIA EUGENIA M (L","marzo",0,6
"85","MARIELA SOLEDAD","marzo",134,184
"86","MARJUXI IV (L","marzo",0,10
"87","MATIAS IGNACIO (L","marzo",84,105
"88","NISSHIN MARU N°3 (IND)","marzo",40,85
"89","OCEANIA (L","marzo",64,74
"90","PEHUENCO (IND)","marzo",7,18
"91","PELICANO (IND)","marzo",8,27
"92","PINITA (L","marzo",125,140
"93","POLUX (IND)","marzo",0,7
"94","PUNTA DE HUMO (L","marzo",0,8
"95","QUERELEMA (IND)","marzo",28,73
"96","RAPANUI (IND)","marzo",5,15
"97","SAN JOSE (IND)","marzo",0,2
"98","SKORPION (IND)","marzo",17,18
"99","TRAVESIA (L","marzo",284,309
"100","UNIONSUR (FAB)","marzo",0,2
"101","VENTISQUERO (IND)","marzo",11,25
"102","YELCHO I (IND)","marzo",0,9
"103","YOLANDA II (L","marzo",0,8
"104","AQUILES PANCHO I  (IND)","abril",4,5
"105","BUCANERO I (IND)","abril",0,18
"106","CAZADOR (IND)","abril",0,8
"107","COBRA (IND)","abril",0,17
"108","CORSARIO I (IND)","abril",0,8
"109","DON ALFONSO (IND)","abril",0,8
"110","DON EDMUNDO (IND)","abril",0,8
"111","DON GERMAN I (L","abril",0,7
"112","DON GILBERTO I (ART)","abril",12,33
"113","DON JULIO (BZA)","abril",0,17
"114","DON MANUEL (IND)","abril",0,16
"115","DON STEFAN (IND)","abril",58,74
"116","FERNANDO ANDRES II (L","abril",0,8
"117","HUMBOLDT II (ART)","abril",0,6
"118","LEONORA (L","abril",0,8
"119","LIDER (IND)","abril",2,19
"120","LONCO (IND)","abril",0,15
"121","MAMITA INES (ART)","abril",0,9
"122","MARIA JOSE (IND)","abril",0,9
"123","MARJUXI IV (L","abril",22,59
"124","MATIAS IGNACIO (L","abril",0,11
"125","OCEANIA (L","abril",158,177
"126","PEHUENCO (IND)","abril",0,9
"127","PELICANO (IND)","abril",0,9
"128","PINITA (L","abril",181,201
"129","POLUX (IND)","abril",0,3
"130","QUERELEMA (IND)","abril",0,15
"131","RAPANUI (IND)","abril",0,8
"132","RUTH (IND)","abril",0,6
"133","SAN JOSE (IND)","abril",0,8
"134","SKORPION (IND)","abril",10,11
"135","VENTISQUERO (IND)","abril",0,9
"136","VESTERVEG (IND)","abril",0,9
"137","VICHUQUEN II (IND)","abril",0,7
"138","YELCHO I (IND)","abril",0,8
"139","YOLANDA II (L","abril",22,29
"140","ABATE MOLINA","mayo",13,29
"141","ALFA I (L","mayo",20,41
"142","AQUILES PANCHO I  (IND)","mayo",3,18
"143","ARAUCANA III (L","mayo",0,8
"144","BRUMA (L","mayo",0,7
"145","CLAUDIA SOFIA (ART)","mayo",37,58
"146","COCHA (IND)","mayo",65,86
"147","DEMETRIO II (L","mayo",82,107
"148","DON DANILO F (ART)","mayo",37,56
"149","DON DANY (L","mayo",9,36
