"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ABATE MOLINA","enero",60,92
"2","BONN (IND)","enero",24,74
"3","BRISA (L","enero",61,96
"4","BUCANERO I (IND)","enero",32,80
"5","CAZADOR (IND)","enero",15,40
"6","CHANGO I (ART)","enero",0,11
"7","COBRA (IND)","enero",20,58
"8","COCHA (IND)","enero",15,18
"9","CORSARIO I (IND)","enero",37,95
"10","DON ALFONSO (IND)","enero",36,79
"11","DON BORIS (IND)","enero",61,99
"12","DON CLAUDIO (L","enero",0,15
"13","DON EDMUNDO (IND)","enero",27,62
"14","DON JORGE","enero",0,12
"15","DON JULIO (BZA)","enero",27,87
"16","DON LUIS ALBERTO (ART)","enero",0,1
"17","DON MANUEL (IND)","enero",24,44
"18","DON TITO (IND)","enero",39,89
"19","ELBE (IND)","enero",35,45
"20","ESTRELLA II (ART)","enero",2,2
"21","FOCHE (IND)","enero",50,76
"22","GIANPIERO I","enero",0,10
"23","GRINGO (IND)","enero",115,156
"24","GUANAYE 2 (IND)","enero",23,48
"25","HERACLES (L","enero",129,196
"26","HUMBOLDT II (ART)","enero",0,13
"27","ISLA PICTON","enero",166,219
"28","JAVIER (IND)","enero",69,158
"29","LIDER (IND)","enero",23,51
"30","LONCO (IND)","enero",58,113
"31","LUZ ELENA (L","enero",81,122
"32","MARIA JOSE (IND)","enero",34,86
"33","NISSHIN MARU N°3 (IND)","enero",47,68
"34","PELICANO (IND)","enero",20,39
"35","POLARIS II (IND)","enero",60,115
"36","QUERELEMA (IND)","enero",70,151
"37","RAPANUI (IND)","enero",44,73
"38","RUTH (IND)","enero",26,61
"39","SAN JOSE (IND)","enero",26,63
"40","UNIONSUR (FAB)","enero",0,7
"41","UNZEN (FAB)","enero",0,5
"42","VALENTINA (L","enero",0,9
"43","VENTISQUERO (IND)","enero",36,97
"44","VESTERVEG (IND)","enero",48,93
"45","VICHUQUEN II (IND)","enero",40,122
"46","YELCHO I (IND)","enero",22,38
"47","YOLANDA FILOMENA (L","enero",85,120
"48","ABATE MOLINA","febrero",0,9
"49","BRISA (L","febrero",245,310
"50","BRUMA (L","febrero",16,44
"51","BUCANERO I (IND)","febrero",27,57
"52","CAICAVEN (L","febrero",128,177
"53","CAZADOR (IND)","febrero",6,49
"54","COBRA (IND)","febrero",24,43
"55","COCHA (IND)","febrero",154,201
"56","COÑA (L","febrero",40,52
"57","CORSARIO I (IND)","febrero",68,141
"58","DON ALFONSO (IND)","febrero",4,4
"59","DON BORIS (IND)","febrero",32,70
"60","DON EDMUNDO (IND)","febrero",21,50
"61","DON GERMAN I (L","febrero",0,11
"62","DON JULIO (BZA)","febrero",9,33
"63","DON MANUEL (IND)","febrero",7,27
"64","DON STEFAN (IND)","febrero",54,67
"65","DON TITO (IND)","febrero",22,76
"66","ELBE (IND)","febrero",25,39
"67","FOCHE (IND)","febrero",98,142
"68","GRINGO (IND)","febrero",49,80
"69","GUANAYE 2 (IND)","febrero",43,73
"70","HERACLES (L","febrero",207,281
"71","HUANAY (L","febrero",5,10
"72","ISLA PICTON","febrero",85,109
"73","JAVIER (IND)","febrero",35,90
"74","JECHITO VI (L","febrero",0,6
"75","LAUREANO V (L","febrero",0,9
"76","LEONORA (L","febrero",189,247
"77","LIDER (IND)","febrero",49,138
"78","LONCO (IND)","febrero",24,61
"79","LUZ ELENA (L","febrero",21,33
"80","MARIA JOSE (IND)","febrero",24,83
"81","MARIELA SOLEDAD","febrero",0,21
"82","MUTRUN (L","febrero",125,176
"83","NISSHIN MARU N°3 (IND)","febrero",90,138
"84","OCEANIA (L","febrero",147,154
"85","PEHUENCO (IND)","febrero",40,84
"86","PELICANO (IND)","febrero",43,76
"87","PINITA (L","febrero",43,54
"88","POLARIS II (IND)","febrero",54,125
"89","POLUX (IND)","febrero",142,171
"90","PUNTA DE HUMO (L","febrero",0,6
"91","QUERELEMA (IND)","febrero",66,131
"92","RAPANUI (IND)","febrero",27,76
"93","RICARDO I (ART)","febrero",12,26
"94","RUTH (IND)","febrero",20,76
"95","SAN JOSE (IND)","febrero",14,45
"96","TRAVESIA (L","febrero",0,7
"97","UNZEN (FAB)","febrero",0,6
"98","VALENTINA (L","febrero",0,9
"99","VENTISQUERO (IND)","febrero",47,76
"100","VESTERVEG (IND)","febrero",26,48
"101","VICHUQUEN II (IND)","febrero",42,109
"102","YELCHO I (IND)","febrero",40,74
"103","YOLANDA FILOMENA (L","febrero",244,338
"104","YOLANDA II (L","febrero",32,102
"105","BRISA (L","marzo",299,384
"106","BRUDER ALFA (ART-TRP)","marzo",0,16
"107","BRUMA (L","marzo",10,27
"108","BUCANERO I (IND)","marzo",27,73
"109","CAICAVEN (L","marzo",87,120
"110","CAZADOR (IND)","marzo",10,59
"111","CHANGO I (ART)","marzo",0,10
"112","COBRA (IND)","marzo",18,66
"113","COCHA (IND)","marzo",93,114
"114","COÑA (L","marzo",174,271
"115","CORSARIO I (IND)","marzo",23,70
"116","DON ALFONSO (IND)","marzo",7,53
"117","DON ALFONSO IV (L","marzo",35,55
"118","DON BORIS (IND)","marzo",21,60
"119","DON EDMUNDO (IND)","marzo",23,47
"120","DON GERMAN I (L","marzo",0,9
"121","DON JULIO (BZA)","marzo",15,70
"122","DON MANUEL (IND)","marzo",31,71
"123","DON STEFAN (IND)","marzo",57,90
"124","DON TITO (IND)","marzo",10,16
"125","FERNANDO ANDRES II (L","marzo",0,21
"126","FOCHE (IND)","marzo",23,40
"127","GUANAYE 2 (IND)","marzo",48,98
"128","HERACLES (L","marzo",211,290
"129","HUANAY (L","marzo",0,6
"130","JAVIER (IND)","marzo",44,123
"131","LAUREANO V (L","marzo",42,53
"132","LEONORA (L","marzo",13,33
