"","Embarcacion","Mes","Horas_De_Pesca_Km2","Horas_Transito_y_Pesca_Km2"
"1","ABATE MOLINA","enero",10,25
"2","AZARIEL (ART)","enero",0,4
"3","BONN (IND)","enero",14,36
"4","BUCANERO I (IND)","enero",13,36
"5","CAZADOR (IND)","enero",7,25
"6","CHANGO I (ART)","enero",0,3
"7","COBRA (IND)","enero",0,11
"8","CORSARIO I (IND)","enero",14,44
"9","DON ALFONSO (IND)","enero",14,36
"10","DON BORIS (IND)","enero",0,24
"11","DON CLAUDIO (L","enero",0,5
"12","DON EDMUNDO (IND)","enero",15,39
"13","DON JORGE","enero",0,3
"14","DON JOSE IV (ART)_1322","enero",67,85
"15","DON JULIO (BZA)","enero",12,43
"16","DON LUIS ALBERTO (ART)","enero",0,7
"17","DON MANUEL (IND)","enero",0,9
"18","DON TITO (IND)","enero",11,42
"19","ESTRELLA II (ART)","enero",7,17
"20","FOCHE (IND)","enero",3,27
"21","GIANPIERO I","enero",0,3
"22","GRINGO (IND)","enero",25,81
"23","GUANAYE 2 (IND)","enero",4,19
"24","HUMBOLDT II (ART)","enero",0,4
"25","ISLA PICTON","enero",4,70
"26","JAVIER (IND)","enero",3,44
"27","LIDER (IND)","enero",0,5
"28","LONCO (IND)","enero",8,39
"29","MARBELLA II (ART)","enero",7,15
"30","MARIA JOSE (IND)","enero",17,38
"31","NISSHIN MARU N°3 (IND)","enero",4,32
"32","PELICANO (IND)","enero",13,28
"33","POLARIS II (IND)","enero",27,61
"34","QUERELEMA (IND)","enero",30,67
"35","RAPANUI (IND)","enero",0,12
"36","RUTH (IND)","enero",0,15
"37","SAN JOSE (IND)","enero",0,20
"38","UNIONSUR (FAB)","enero",0,2
"39","UNZEN (FAB)","enero",0,2
"40","VALENTINA (L","enero",0,3
"41","VENTISQUERO (IND)","enero",1,18
"42","VESTERVEG (IND)","enero",7,29
"43","VICHUQUEN II (IND)","enero",10,39
"44","YELCHO I (IND)","enero",31,66
"45","ABATE MOLINA","febrero",0,3
"46","ANSELMO I (ART)","febrero",4,17
"47","BIOMAR IV (IND)","febrero",11,15
"48","BUCANERO I (IND)","febrero",19,47
"49","CAZADOR (IND)","febrero",19,58
"50","COBRA (IND)","febrero",7,20
"51","COCHA (IND)","febrero",0,43
"52","COÑA (L","febrero",141,150
"53","CORSARIO I (IND)","febrero",17,57
"54","DON ALFONSO (IND)","febrero",41,72
"55","DON BORIS (IND)","febrero",25,63
"56","DON CHELO II (ART)","febrero",2,7
"57","DON EDMUNDO (IND)","febrero",6,30
"58","DON GERMAN I (L","febrero",0,1
"59","DON JOSE IV (ART)_1322","febrero",58,80
"60","DON JULIO (BZA)","febrero",15,38
"61","DON MANUEL (IND)","febrero",4,18
"62","DON TITO (IND)","febrero",19,59
"63","ELOISA II (ART)","febrero",6,17
"64","FOCHE (IND)","febrero",0,35
"65","GRINGO (IND)","febrero",33,78
"66","GUANAYE 2 (IND)","febrero",85,118
"67","ISLA PICTON","febrero",14,43
"68","JAVIER (IND)","febrero",26,83
"69","LAUREANO V (L","febrero",93,117
"70","LIDER (IND)","febrero",0,24
"71","LONCO (IND)","febrero",6,30
"72","LUZ ELENA (L","febrero",146,168
"73","MARBELLA II (ART)","febrero",16,22
"74","MARIA JOSE (IND)","febrero",8,30
"75","NEFI (L","febrero",12,15
"76","NISSHIN MARU N°3 (IND)","febrero",0,34
"77","PEHUENCO (IND)","febrero",23,44
"78","PELICANO (IND)","febrero",17,40
"79","POLARIS II (IND)","febrero",43,80
"80","POLUX (IND)","febrero",5,46
