"","Embarcacion","Categoria"
"1","ABATE MOLINA","chile_vms_industry"
"2","ABEL (ART)","chile_vms_small_fisheries"
"3","ABRAHAM (ART)","chile_vms_small_fisheries"
"4","ABUELITA FLOR  (ART)","chile_vms_small_fisheries"
"5","ABUELITA FRESIA (L","chile_vms_small_fisheries"
"6","ACHERNAR (ART)","chile_vms_small_fisheries"
"7","ACUARIO I (ART)","chile_vms_small_fisheries"
"8","ACUARIO III (ART)","chile_vms_small_fisheries"
"9","ACUARIO IV (ART)","chile_vms_small_fisheries"
"10","ADONAI (ART)","chile_vms_small_fisheries"
"11","ADRIANA (ART)","chile_vms_small_fisheries"
"12","ADRIANA   ART","chile_vms_small_fisheries"
"13","ADRIANA IX (ART)","chile_vms_small_fisheries"
"14","ADRIANA V (ART)","chile_vms_small_fisheries"
"15","ADRIANA X (ART)","chile_vms_small_fisheries"
"16","AGUILA REAL (ART)","chile_vms_small_fisheries"
"17","AGUILA REAL II (ART)","chile_vms_small_fisheries"
"18","ALBERTO M (ART)","chile_vms_small_fisheries"
"19","ALBIMER (IND)","chile_vms_industry"
"20","ALBORADA (ART)","chile_vms_small_fisheries"
"21","ALDEBARAN II (ART)","chile_vms_small_fisheries"
"22","ALDO Y FELIPE (L","chile_vms_small_fisheries"
"23","ALEJANDRA MARIA VI (ART-TRP)","chile_vms_small_fisheries"
"24","ALERCE (IND)","chile_vms_industry"
"25","ALFA I (L","chile_vms_small_fisheries"
"26","ALTAIR I (IND)","chile_vms_industry"
"27","AMADEUS (ART)","chile_vms_small_fisheries"
"28","AMADEUS II (ART)","chile_vms_small_fisheries"
"29","AMPARITO I (ART)","chile_vms_small_fisheries"
"30","ANA LUISA (ART)","chile_vms_small_fisheries"
"31","ANA MARIA (ART)","chile_vms_small_fisheries"
"32","ANDREA C (ART)","chile_vms_small_fisheries"
"33","ANGAMOS 2 (IND)","chile_vms_industry"
"34","ANGAMOS 3 (IND)","chile_vms_industry"
"35","ANGAMOS 4 (IND)","chile_vms_industry"
"36","ANGAMOS 9 (IND)","chile_vms_industry"
"37","ANGELA VALENTINA (ART)","chile_vms_small_fisheries"
"38","ANGELINA (ART)","chile_vms_small_fisheries"
"39","ANMAI    (ART)","chile_vms_small_fisheries"
"40","ANSELMO I (ART)","chile_vms_small_fisheries"
"41","ANTARCTIC BAY (FAB)","chile_vms_industry"
"42","ANTARCTIC ENDEAVOUR (FAB)","chile_vms_industry"
"43","ANTARES (IND)","chile_vms_industry"
"44","ANTARES II (ART)","chile_vms_small_fisheries"
"45","ANTARES IV (ART)","chile_vms_small_fisheries"
"46","ANTARES V (ART)","chile_vms_small_fisheries"
"47","AQUILES PANCHO I  (IND)","chile_vms_industry"
"48","ARAUCANA III (L","chile_vms_small_fisheries"
"49","ARAUCO II (IND)","chile_vms_industry"
"50","ARIES I (ART)","chile_vms_small_fisheries"
"51","ARKHOS I (ART)","chile_vms_small_fisheries"
"52","ARKHOS II (ART)","chile_vms_small_fisheries"
"53","ARKHOS III (ART)","chile_vms_small_fisheries"
"54","ARKHOS IV (ART)","chile_vms_small_fisheries"
"55","ARMANDO S (ART)","chile_vms_small_fisheries"
"56","ATACAMA IV (IND)","chile_vms_industry"
"57","ATACAMA V (IND)","chile_vms_industry"
"58","AUDAZ (IND)","chile_vms_industry"
"59","AVENTURERO (IND)","chile_vms_industry"
"60","AYOHARA III (AR-TRP)","chile_vms_small_fisheries"
"61","AZARIEL (ART)","chile_vms_small_fisheries"
"62","BALLENITA I (ART)","chile_vms_small_fisheries"
"63","BANDURRIA (IND)","chile_vms_industry"
"64","BARRACUDA IV (IND)","chile_vms_industry"
"65","BELEN III (ART-TRP)","chile_vms_small_fisheries"
"66","BEN HUR (ART-TRP)","chile_vms_small_fisheries"
"67","BENJAMIN (ART)","chile_vms_small_fisheries"
"68","BETANZOS (FAB)","chile_vms_industry"
"69","BETTY YULY (L","chile_vms_small_fisheries"
"70","BIO BIO (ART)","chile_vms_small_fisheries"
"71","BIOMAR IV (IND)","chile_vms_industry"
"72","BLANCA ESTELA (ART)","chile_vms_small_fisheries"
"73","BLANQUILLO (IND)","chile_vms_industry"
"74","BODANES (IND)","chile_vms_industry"
"75","BONN (IND)","chile_vms_industry"
"76","BRENDA ESMERALDA (ART)","chile_vms_small_fisheries"
"77","BRISA (L","chile_vms_small_fisheries"
"78","BRUDER ALFA (ART-TRP)","chile_vms_small_fisheries"
"79","BRUMA (L","chile_vms_small_fisheries"
"80","BRYAN ALEJANDRO (ART)","chile_vms_small_fisheries"
"81","BUCANERO I (IND)","chile_vms_industry"
"82","BUENA FE II (L","chile_vms_small_fisheries"
"83","CABO DE HORNOS (ARM)","chile_vms_industry"
"84","CABO TAMAR II (ART)","chile_vms_small_fisheries"
