"","Embarcacion","Categoria"
"1","BIO BIO (ART)","chile_vms_small_fisheries"
"2","KAREN PAMELA (ART)","chile_vms_small_fisheries"
"3","EPERVA 51 (IND)","chile_vms_industry"
"4","COYI II (ART)","chile_vms_small_fisheries"
"5","JECHITO VI (L","chile_vms_small_fisheries"
"6","YOVANKA (L","chile_vms_small_fisheries"
"7","DON GERMAN I (L","chile_vms_small_fisheries"
"8","LUCAS I (ART)","chile_vms_small_fisheries"
"9","GOLFO (ART)","chile_vms_small_fisheries"
"10","DIEGO BENJAMIN (ART)","chile_vms_small_fisheries"
"11","FERNANDO ANDRES II (L/B)","chile_vms_small_fisheries"
"12","YOVANKA (L/B)","chile_vms_small_fisheries"
"13","DON MOISES (ART)","chile_vms_small_fisheries"
"14","MARIA LEONTINA (L/B)","chile_vms_small_fisheries"
"15","VALIANT (L","chile_vms_small_fisheries"
"16","RODRIGO (ART)","chile_vms_small_fisheries"
"17","VIRGO (ART)","chile_vms_small_fisheries"
"18","DON WILLIAM (L","chile_vms_small_fisheries"
"19","DON NINO I","chile_vms_small_fisheries"
"20","DON MATEO I (ART)","chile_vms_small_fisheries"
"21","DIEGO ESTEBAN (ART)","chile_vms_small_fisheries"
"22","DON UBALDO H.Q. (ART)","chile_vms_small_fisheries"
"23","STA. ISABEL I (L/B)","chile_vms_small_fisheries"
"24","DEMETRIO II (L/B)","chile_vms_small_fisheries"
"25","DOÃ‘A GLADYS II (ART)","chile_vms_small_fisheries"
"26","BLANQUILLO (IND)","chile_vms_industry"
"27","MISIONERA III (ART)","chile_vms_small_fisheries"
"28","ACUARIO III (ART)","chile_vms_small_fisheries"
"29","SOCOROMA I (ART)","chile_vms_small_fisheries"
"30","CELINA I (ART)","chile_vms_small_fisheries"
"31","RIO PELLUHUE I (L/B)","chile_vms_small_fisheries"
"32","PITUCO (ART)","chile_vms_small_fisheries"
"33","ARAUCANA III (L/B)","chile_vms_small_fisheries"
"34","OSCAR ALONSO (L","chile_vms_small_fisheries"
"35","MARIA JESUS I (ART)","chile_vms_small_fisheries"
"36","ADRIANA (ART)","chile_vms_small_fisheries"
"37","GAROTA II (ART)","chile_vms_small_fisheries"
"38","DON ISAAC (ART)","chile_vms_small_fisheries"
"39","JUAN CLAUDIO I (L/B)","chile_vms_small_fisheries"
"40","GENESIS I (ART)","chile_vms_small_fisheries"
"41","MAULINA IV (ART)","chile_vms_small_fisheries"
"42","DON SIXTO (ART)","chile_vms_small_fisheries"
"43","ROSA ESTER II (ART)","chile_vms_small_fisheries"
"44","ISAAC II (ART)","chile_vms_small_fisheries"
"45","PAOLA I (ART)","chile_vms_small_fisheries"
"46","GIANLUCA (ART)","chile_vms_small_fisheries"
"47","GAROTA III (ART)","chile_vms_small_fisheries"
"48","CHELITA I (ART)","chile_vms_small_fisheries"
"49","MARTIN RENATO (ART)","chile_vms_small_fisheries"
"50","EL ROBLE (L/B)","chile_vms_small_fisheries"
"51","LAGO CISNE (L/B)","chile_vms_small_fisheries"
"52","SANTA RITA III (ART)","chile_vms_small_fisheries"
"53","NAGASAKI (ART)","chile_vms_small_fisheries"
"54","YAHVE DE ISRAEL (ART)","chile_vms_small_fisheries"
"55","EBENEZER II (ART)","chile_vms_small_fisheries"
"56","TURIMAR III (ART)","chile_vms_small_fisheries"
"57","ALEJANDRA MARIA VI (ART-TRP)","chile_vms_small_fisheries"
"58","TITIN (ART)","chile_vms_small_fisheries"
"59","DON CESAR (ART)","chile_vms_small_fisheries"
"60","KATYTA (ART)","chile_vms_small_fisheries"
"61","DON ARNALDO (ART)","chile_vms_small_fisheries"
"62","PUERTO BALLENA (FAB)","chile_vms_industry"
"63","ALBORADA (ART)","chile_vms_small_fisheries"
"64","DON ALFREDO (L","chile_vms_small_fisheries"
"65","GIMAR I (ART)","chile_vms_small_fisheries"
"66","ROCIO III (L/B)","chile_vms_small_fisheries"
"67","DON ERNESTO I (ART)","chile_vms_small_fisheries"
"68","STA XIMENA (L/B)","chile_vms_small_fisheries"
"69","PLUTON (ART)","chile_vms_small_fisheries"
"70","MARIA JOSE (IND)","chile_vms_industry"
"71","DON GUILLERMO I (ART)","chile_vms_small_fisheries"
"72","MARJUXI II (L","chile_vms_small_fisheries"
"73","JOSE I (ART)","chile_vms_small_fisheries"
"74","DOÑA AMANDA (L","chile_vms_small_fisheries"
"75","MARICIA (ART)","chile_vms_small_fisheries"
"76","SOFIA MAGDALENA (ART)","chile_vms_small_fisheries"
"77","MAMITA RITA (L","chile_vms_small_fisheries"
"78","MOISES ABRAHAM (ART)","chile_vms_small_fisheries"
"79","JOYA I (L/B)","chile_vms_small_fisheries"
"80","DON FELIX (L/B)","chile_vms_small_fisheries"
"81","DOÑA VIOLETA (ART)","chile_vms_small_fisheries"
"82","DON HUGO (ART)","chile_vms_small_fisheries"
"83","ARKHOS II (ART)","chile_vms_small_fisheries"
"84","OCEANI III (ART)","chile_vms_small_fisheries"
"85","NELLY (ART)","chile_vms_small_fisheries"
"86","GOLONDRINA II (ART)","chile_vms_small_fisheries"
"87","CLAUDIA VICTORIA (L/B)","chile_vms_small_fisheries"
"88","DOÃ‘A AMANDA (L/B)","chile_vms_small_fisheries"
"89","YUCATAN (L","chile_vms_small_fisheries"
"90","TRINIDAD (ART)","chile_vms_small_fisheries"
"91","DON JULIAN (ART)","chile_vms_small_fisheries"
"92","PUNTA DEL ESTE (L/B)","chile_vms_small_fisheries"
"93","MELISSA KAREN (L/B)","chile_vms_small_fisheries"
"94","SURAZO (ART)","chile_vms_small_fisheries"
"95","COLON II (L","chile_vms_small_fisheries"
"96","EL ACUARIO (L/B)","chile_vms_small_fisheries"
"97","COLOMBO II (L","chile_vms_small_fisheries"
"98","RAPANUI (IND)","chile_vms_industry"
"99","BEN HUR (ART-TRP)","chile_vms_small_fisheries"
"100","DON ULMES (ART)","chile_vms_small_fisheries"
"101","ELCIRA ROSA (L/B)","chile_vms_small_fisheries"
"102","MAMITA RITA (L/B)","chile_vms_small_fisheries"
"103","VALENTINA II (ART-TRP)","chile_vms_small_fisheries"
"104","NAVEGANTE VI (ART-TRP)","chile_vms_small_fisheries"
"105","MARIA CECILIA I (L","chile_vms_small_fisheries"
"106","MARIA ISABEL (ART)","chile_vms_small_fisheries"
"107","LUIS DAVID I (L","chile_vms_small_fisheries"
"108","RIO MAULE I (ART)","chile_vms_small_fisheries"
"109","MARY PAZ II (ART)","chile_vms_small_fisheries"
"110","JUAN ANTONIO I (L/B)","chile_vms_small_fisheries"
"111","TUMBES (L/B)","chile_vms_small_fisheries"
"112","SANTA MARGARITA I (L/B)","chile_vms_small_fisheries"
"113","YOLANDA FILOMENA (L/B)","chile_vms_small_fisheries"
"114","ISLA TABON (L/B)","chile_vms_small_fisheries"
"115","CARLOS FABIAN III (ART)","chile_vms_small_fisheries"
"116","LUIS DAVID C (L","chile_vms_small_fisheries"
"117","IMPERIO AUSTRAL (ART)","chile_vms_small_fisheries"
